,counties,1976D,1976R,1976Total,1980D,1980R,1980Total,1984D,1984R,1984Total,1988D,1988R,1988Total,1992D,1992R,1992Total,1996D,1996R,1996Total,2000D,2000R,2000Total,2004D,2004R,2004Total,2008D,2008R,2008Total,2012D,2012R,2012Total,2016D,2016R,2016Total,Partisan Lean 1976,Partisan Lean 1980,Partisan Lean 1984,Partisan Lean 1988,Partisan Lean 1992,Partisan Lean 1996,Partisan Lean 2000,Partisan Lean 2004,Partisan Lean 2008,Partisan Lean 2012,Partisan Lean 2016,Partisan Lean 2020,Partisan Lean 2024,Partisan Lean 2028,Partisan Lean 2032,Partisan Lean 2036,Partisan Lean 2040,2040Total,2020Total,2024Total,2028Total,2032Total,2036Total
10,Gilliam,0.45369406867845996,0.5463059313215402,1166,0.38789237668161436,0.6121076233183856,1140,0.3453815261044177,0.6546184738955824,1073,0.47017189079878663,0.5298281092012133,897,0.4979253112033195,0.5020746887966805,1038,0.5488810365135454,0.4511189634864546,1040,0.3455882352941177,0.6544117647058824,1090,0.32894736842105265,0.6710526315789473,1138,0.3985581874356334,0.6014418125643667,1110,0.3676470588235294,0.6323529411764706,1061,0.2631578947368421,0.7368421052631579,1019,-0.04713154532154007,-0.22555465631838567,-0.1505590098955823,0.08803298979878665,-0.012597545519680509,0.10193445092954534,-0.06271556727088229,-0.13203704487294732,-0.1359910031813666,-0.1797055743744706,-0.23952255561315788,-0.2804069480137912,-0.3265072692418016,-0.3725165729945559,-0.41843521796201344,-0.46426356071785335,-0.5100019557362714,1187.892857142857,1114.857142857143,1129.4642857142858,1144.0714285714284,1158.6785714285713,1173.2857142857142
11,Grant,0.45877378435517974,0.5412262156448203,3206,0.3355408388520971,0.6644591611479029,4187,0.33299999999999996,0.667,4041,0.3883696780893042,0.6116303219106958,3844,0.4318181818181818,0.5681818181818182,3986,0.358974358974359,0.6410256410256411,3837,0.16054564533053517,0.8394543546694648,3846,0.19571865443425074,0.8042813455657493,4061,0.2652218782249742,0.7347781217750258,3909,0.2256728778467909,0.7743271221532091,3911,0.18681318681318682,0.8131868131868132,4340,-0.04205182964482029,-0.2779061941479029,-0.16294053600000002,0.006230777089304251,-0.0787046749048182,-0.08797222660964105,-0.24775815723446482,-0.26526575885974923,-0.26932731239202584,-0.3216797553512091,-0.31586726353681316,-0.4128936308822517,-0.46043301461338615,-0.5078785396778756,-0.5552305759624971,-0.6024894911716956,-0.6496556508449203,4365.75,4155.75,4197.75,4239.75,4281.75,4323.75
12,Harney,0.48677248677248675,0.5132275132275133,3407,0.3241150442477876,0.6758849557522124,3785,0.36958710976837866,0.6304128902316213,3512,0.42946058091286304,0.5705394190871369,3330,0.4194484760522496,0.5805515239477503,3372,0.3349339735894358,0.6650660264105642,3515,0.21465968586387435,0.7853403141361257,3734,0.22998986828774062,0.7700101317122594,3702,0.2679127725856698,0.7320872274143302,3683,0.24166666666666667,0.7583333333333333,3583,0.19005524861878453,0.8099447513812155,3974,-0.014053127227513285,-0.28933198875221244,-0.12635342623162132,0.04732167991286307,-0.09107438067075041,-0.11201261199456425,-0.19364411670112563,-0.23099454500625935,-0.2666364180313302,-0.3056859665313333,-0.31262520173121544,-0.4018645602436095,-0.45014237103995924,-0.4983248652672785,-0.546412418557793,-0.5944054043275173,-0.642304193793791,4294.1547619047615,3934.9285714285716,4006.773809523809,4078.6190476190477,4150.464285714285,4222.309523809524
13,Hood River,0.49213011542497376,0.5078698845750262,6636,0.4587973273942093,0.5412026726057906,7092,0.4002006018054163,0.5997993981945838,7571,0.5015353121801432,0.4984646878198567,6689,0.5585331452750353,0.4414668547249647,7841,0.5663924794359577,0.43360752056404234,7574,0.5225027442371021,0.4774972557628979,8549,0.5756345177664975,0.4243654822335025,9859,0.658787255909558,0.34121274409044194,9830,0.6383419689119171,0.36165803108808287,9838,0.6655518394648829,0.33444816053511706,10910,-0.008695498575026273,-0.15464970560579072,-0.09573993419458371,0.11939641118014327,0.04801028855203526,0.1194458938519577,0.1141989416721021,0.11465010447249757,0.12423806529255799,0.0909893357139171,0.16287138911488297,0.1402141044587708,0.14650316059591617,0.152779800029748,0.15904407169313828,0.16529602423026546,0.17153570599888113,14270.714285714286,11436.785714285714,12003.571428571428,12570.357142857143,13137.142857142859,13703.928571428572
14,Jackson,0.49102428722280883,0.5089757127771911,50236,0.3770856507230255,0.6229143492769744,58740,0.3801404212637914,0.6198595787362087,61359,0.46319018404907975,0.5368098159509203,61912,0.504,0.49600000000000005,77096,0.46378504672897203,0.5362149532710281,73647,0.41862955032119914,0.5813704496788008,84796,0.4397163120567376,0.5602836879432624,102189,0.5005149330587024,0.4994850669412977,101047,0.4755970924195223,0.5244029075804777,97127,0.45222222222222225,0.5477777777777777,109327,-0.0098013267771912,-0.2363613822769745,-0.1158001147362086,0.08105128304907977,-0.0065228567230000145,0.016838461144972006,0.010325747756199155,-0.02126810123726236,-0.03403425755829759,-0.07175554077847768,-0.05045822812777773,-0.08590693598380028,-0.10277890102528886,-0.11961755515658012,-0.13642302965234876,-0.15319545501272103,-0.1699349609694849,148520.04761904763,116874.03571428571,123203.2380952381,129532.44047619047,135861.64285714284,142190.84523809524
15,Jefferson,0.4941921858500528,0.5058078141499472,3777,0.3956916099773243,0.6043083900226758,4737,0.3691073219658977,0.6308926780341023,5216,0.4835390946502057,0.5164609053497943,4995,0.5243553008595988,0.4756446991404011,5906,0.4922341696535245,0.5077658303464755,6195,0.41164021164021164,0.5883597883597884,6897,0.40526849037487334,0.5947315096251267,8115,0.455761316872428,0.5442386831275721,8318,0.4156378600823046,0.5843621399176955,8175,0.35195530726256985,0.6480446927374302,9459,-0.006633428149947218,-0.21775542302267575,-0.1268332140341023,0.10140019365020575,0.013832444136598787,0.04528758406952449,0.003336409075211655,-0.05571592291912664,-0.07878787374457202,-0.1317147731156954,-0.15072514308743012,-0.18774229519175378,-0.22220332322180525,-0.256596313639875,-0.29092153457486347,-0.3251792525735766,-0.35936973261345884,12932.619047619048,9945.714285714286,10543.095238095237,11140.47619047619,11737.857142857143,12335.238095238095
16,Josephine,0.4578441835645678,0.5421558164354323,21110,0.297029702970297,0.7029702970297029,26336,0.3046092184368737,0.6953907815631263,28062,0.4012345679012346,0.5987654320987654,27272,0.4587412587412587,0.5412587412587413,33559,0.40898345153664306,0.591016548463357,32111,0.3484358144552319,0.6515641855447681,36733,0.3669724770642202,0.6330275229357799,42275,0.43124999999999997,0.56875,42049,0.3875,0.6124999999999999,40238,0.33333333333333337,0.6666666666666667,44560,-0.04298143043543223,-0.316417330029703,-0.19133131756312627,0.019095666901234598,-0.05178159798174131,-0.03796313404735696,-0.05986798810976807,-0.09401193622977977,-0.10329919061700005,-0.15985263319799997,-0.1693471170166666,-0.19369264414396525,-0.21832081540247827,-0.24290036240181223,-0.26743147676485535,-0.2919143489839655,-0.31634916842985206,58811.369047619046,47515.71428571429,49774.84523809524,52033.97619047618,54293.107142857145,56552.23809523809
17,Klamath,0.453125,0.546875,22187,0.314410480349345,0.6855895196506551,25592,0.2998996990972919,0.7001003009027081,25335,0.38461538461538464,0.6153846153846154,22470,0.40053763440860213,0.5994623655913979,26593,0.3726851851851852,0.6273148148148148,22360,0.2858649789029536,0.7141350210970464,27844,0.26653102746693796,0.733468972533062,31515,0.3292053663570691,0.6707946336429308,29399,0.30538302277432716,0.6946169772256728,28152,0.2604856512141281,0.739514348785872,30507,-0.04770061400000003,-0.29903655265065504,-0.19604083690270807,0.0024764836153846614,-0.10998522231439789,-0.07426140039881485,-0.12243882366204639,-0.194453385827062,-0.20534382425993092,-0.24196961042367282,-0.24219479913587189,-0.3000879738985418,-0.3335468345148911,-0.3669396361334236,-0.4002666390855154,-0.43352810216646276,-0.46672428264790256,37402.607142857145,32114.39285714286,33172.03571428572,34229.67857142857,35287.321428571435,36344.96428571429
18,Lake,0.4670846394984326,0.5329153605015674,3088,0.3391494002181025,0.6608505997818975,3689,0.3243243243243243,0.6756756756756757,3653,0.3639143730886851,0.636085626911315,3463,0.36265223274695535,0.6373477672530447,3802,0.30022831050228316,0.699771689497717,3652,0.20021074815595363,0.7997892518440464,3729,0.20854526958290948,0.7914547304170906,3905,0.2659137577002053,0.7340862422997946,3688,0.2155440414507772,0.7844559585492228,3710,0.17489270386266095,0.8251072961373391,3930,-0.03374097450156743,-0.2742976327818975,-0.1716162116756757,-0.018224527911314903,-0.14787062397604467,-0.14671827508171686,-0.20809305440904635,-0.2524391437110905,-0.2686354329167947,-0.33180859174722277,-0.327787746487339,-0.39946933540744567,-0.440699933647835,-0.4818491288772577,-0.5229172418960673,-0.5639045916119869,-0.6048114950549746,4084.6785714285716,3900.5714285714284,3937.3928571428573,3974.214285714286,4011.035714285714,4047.857142857143
19,Lane,0.5495780590717299,0.45042194092827004,108367,0.48826291079812206,0.5117370892018779,125604,0.5100200400801603,0.48997995991983967,125852,0.5953109072375128,0.4046890927624873,119702,0.6395806028833552,0.36041939711664484,151862,0.5902612826603325,0.40973871733966744,139787,0.5602605863192183,0.4397394136807818,152188,0.589430894308943,0.41056910569105687,185872,0.6409465020576132,0.35905349794238683,182910,0.6212278876170656,0.37877211238293446,171850,0.6045197740112994,0.3954802259887006,191950,0.04875244507172982,-0.12518412220187797,0.014079504080160343,0.2131720062375128,0.12905774616035515,0.1433146970763325,0.15195678375421828,0.12844648101494305,0.10639731144061315,0.07387525441906562,0.10183932366129944,0.06746825160848857,0.0534417544665331,0.03944295032806622,0.02547173005797987,0.011527985165059818,-0.002388392203130252,248954.7142857143,203197.0357142857,212348.57142857142,221500.10714285716,230651.64285714284,239803.17857142858
