,counties,1976D,1976R,1976Total,1980D,1980R,1980Total,1984D,1984R,1984Total,1988D,1988R,1988Total,1992D,1992R,1992Total,1996D,1996R,1996Total,2000D,2000R,2000Total,2004D,2004R,2004Total,2008D,2008R,2008Total,2012D,2012R,2012Total,2016D,2016R,2016Total,Partisan Lean 2016,Partisan Lean 1976,Partisan Lean 1980,Partisan Lean 1984,Partisan Lean 1988,Partisan Lean 1992,Partisan Lean 1996,Partisan Lean 2000,Partisan Lean 2004,Partisan Lean 2008,Partisan Lean 2012,Partisan Lean 2020,Partisan Lean 2024,Partisan Lean 2028,Partisan Lean 2032,Partisan Lean 2036,Partisan Lean 2040,2040Total,1976Proportion,1980Proportion,1984Proportion,1988Proportion,1992Proportion,1996Proportion,2000Proportion,2004Proportion,2008Proportion,2012Proportion,2016Proportion,2020Proportion,2024Proportion,2028Proportion,2032Proportion,2036Proportion,2040Proportion,2020Total,2024Total,2028Total,2032Total,2036Total
10,Collier,0.3744939271255061,0.6255060728744939,23710,0.24442082890541977,0.7555791710945802,33613,0.2122122122122122,0.7877877877877878,42691,0.24723618090452262,0.7527638190954774,51980,0.32830188679245287,0.6716981132075471,71944,0.3528114663726571,0.6471885336273429,72517,0.3312945973496432,0.6687054026503567,92202,0.34409687184661963,0.6559031281533805,128683,0.38647830474268413,0.6135216952573158,141988,0.34879032258064524,0.6512096774193549,149324,0.36683937823834195,0.633160621761658,172510,-0.13584107211165802,-0.12633168687449392,-0.36902620409458026,-0.2837283237877878,-0.13490272009547735,-0.18222096993054715,-0.09413511921134293,-0.07700920521535676,-0.11688754144738034,-0.14807088587431588,-0.19856231061735474,-0.15137383287471984,-0.15477787415902888,-0.15817519472566666,-0.16156582106025397,-0.16494977949214196,-0.16832709619565556,277015.97619047615,0.007525756114716519,0.009116707581055105,0.010213035729237688,0.012082002348994146,0.013537670415756866,0.013672814785652982,0.015462428957381976,0.016910335130375934,0.016878975364361098,0.017584097769298153,0.01815429031521072,35513456.73809524,35583718.83333333,35653980.928571425,35724243.02380952,35794505.11904762,35864767.21428571,189188.35714285716,206753.88095238095,224319.40476190473,241884.92857142858,259450.45238095237
11,Columbia,0.6285425101214575,0.3714574898785425,10766,0.5020576131687243,0.4979423868312758,11648,0.326,0.674,13075,0.34441087613293053,0.6555891238670695,11916,0.46019900497512434,0.5398009950248756,14954,0.4685714285714286,0.5314285714285715,16326,0.39157245632065774,0.6084275436793422,18514,0.32358870967741943,0.6764112903225806,24991,0.3292806484295846,0.6707193515704154,28215,0.3147773279352227,0.6852226720647773,27227,0.27141382868937053,0.7285861713106295,28864,-0.23126662166062945,0.12771689612145742,-0.1113894198312757,-0.16994053599999998,-0.03772802486706944,-0.05032385174787568,0.02162484298742856,-0.01673134624434225,-0.13739570361658054,-0.20526854218741541,-0.2325753052627773,-0.27489593055219075,-0.31103059013514667,-0.3470939077968751,-0.3830861646881658,-0.41900764030091864,-0.4548586124815017,46499.41666666667,0.003417220174231887,0.003159236304528899,0.0031279530149160894,0.002769702577734018,0.0028138875152511423,0.0030782075125911244,0.0031048286340531646,0.0032840871384971207,0.0033540883025709803,0.003206197462997782,0.0030375365814053804,5351533.583333334,5362111.916666667,5372690.25,5383268.583333334,5393846.916666667,5404425.25,33276.5,35921.083333333336,38565.66666666667,41210.25,43854.833333333336
12,DeSoto,0.5756646216768916,0.4243353783231084,4822,0.44720496894409945,0.5527950310559007,6285,0.3233233233233233,0.6766766766766766,7129,0.33937562940584093,0.6606243705941591,6464,0.4629388816644993,0.5370611183355005,7429,0.49596309111880044,0.5040369088811996,7492,0.4381443298969072,0.5618556701030928,7812,0.41431451612903225,0.5856854838709677,9510,0.43756345177664974,0.5624365482233502,10164,0.4275582573454914,0.5724417426545086,9887,0.35810113519091846,0.6418988648090815,10903,-0.1445793151590815,0.07483900767689156,-0.16624206405590058,-0.17261721267667668,-0.04276327159415905,-0.047583975058500705,0.049016505534800414,0.02984052733190723,-0.04666989716496772,-0.09698573884035028,-0.11979437585250857,-0.13711037389747105,-0.15580166343086432,-0.17445605009814358,-0.19307367932945851,-0.21165469569696427,-0.23019924292157157,14710.380952380952,0.0015305439048993274,0.0017046531742757665,0.0017054819918422028,0.0015024637011138546,0.001397911619018372,0.001412589163563194,0.0013100854104582114,0.0012497166454766761,0.0012082563709846339,0.0011642734901626721,0.0011473898748289519,1282239.6904761905,1284767.1666666667,1287294.6428571427,1289822.119047619,1292349.5952380951,1294877.0714285714,11551.035714285714,12182.904761904763,12814.77380952381,13446.642857142857,14078.511904761905
13,Dixie,0.7951564076690212,0.20484359233097882,2752,0.6459183673469387,0.35408163265306125,3173,0.35700000000000004,0.643,3428,0.402,0.598,3397,0.5698924731182795,0.4301075268817204,4373,0.5533980582524272,0.44660194174757273,3800,0.40350877192982454,0.5964912280701754,4667,0.3064516129032258,0.6935483870967742,6442,0.27049180327868855,0.7295081967213115,7293,0.2621951219512195,0.7378048780487805,6959,0.17893660531697342,0.8210633946830266,7246,-0.32374384503302656,0.29433079366902115,0.03247133434693872,-0.13894053599999995,0.01986109900000005,0.05936961639527949,0.10645147266842714,-0.004795030635175446,-0.15453280039077416,-0.26405738733831147,-0.28515751124678046,-0.39345502093530627,-0.45695021835194893,-0.5203200549813687,-0.5835650248567958,-0.6466856190966155,-0.7096823259276164,11417.440476190477,0.0008735082592872147,0.0008605989692883066,0.0008200858841401419,0.0007895837241156813,0.0008228654610266983,0.0007164760840283151,0.0007826636726329329,0.0008465483312471869,0.0008669631752844288,0.0008194780234694078,0.0007625412302128391,1256259.8452380951,1258742.0833333333,1261224.3214285714,1263706.5595238095,1266188.7976190476,1268671.0357142857,8314.642857142857,8935.202380952382,9555.761904761905,10176.32142857143,10796.880952380952
14,Duval,0.5852674066599395,0.4147325933400606,182561,0.47830578512396693,0.5216942148760331,195554,0.376,0.624,206249,0.36884422110552767,0.6311557788944724,203979,0.4270833333333333,0.5729166666666666,249926,0.4692144373673036,0.5307855626326964,254123,0.4144602851323829,0.5855397148676171,265181,0.4185110663983903,0.5814889336016096,381061,0.4904137235116045,0.5095862764883956,416693,0.48181818181818187,0.5181818181818182,412733,0.49267782426778245,0.5073221757322176,436573,-0.010002626082217525,0.08444179265993945,-0.1351412478760331,-0.11994053599999999,-0.013294679894472305,-0.0834395233896667,0.022267851783303594,0.006156482567382937,-0.042473346895609665,-0.04413546710539551,-0.06553445137981811,-0.03602271145643687,-0.03761561124199808,-0.039205366109846373,-0.04079198845375931,-0.04237549059439161,-0.043955884779856014,671997.1785714286,0.0579464176321705,0.053039259640783334,0.04934127582205954,0.04741198070691568,0.04702846403214237,0.04791396102671777,0.044471295344434066,0.05007552835352132,0.049534826052213696,0.04860261863207344,0.04594326697456663,73408195.96428572,73553233.25,73698270.53571428,73843307.82142857,73988345.10714287,74133382.39285715,490700.5714285714,526959.8928571428,563219.2142857143,599478.5357142857,635737.8571428572
15,Escambia,0.4797570850202429,0.520242914979757,80715,0.3925233644859813,0.6074766355140188,88559,0.287,0.713,93549,0.31589537223340036,0.6841046277665995,95460,0.37794299876084264,0.6220570012391574,105221,0.3831877729257642,0.6168122270742359,107925,0.3592630501535312,0.6407369498464688,116856,0.34040404040404043,0.6595959595959595,143278,0.40283400809716596,0.597165991902834,154874,0.3961499493414387,0.6038500506585613,148967,0.39304531085353,0.60695468914647,154172,-0.10963513949646997,-0.02106852897975714,-0.22092366851401873,-0.208940536,-0.06624352876659961,-0.13257985796215738,-0.0637588126582358,-0.04904075241146877,-0.12058037288995954,-0.13171518251983405,-0.15120268385656127,-0.13898038761083953,-0.14690231186298064,-0.15480859558322635,-0.162699300409205,-0.1705744876148927,-0.17843421811348392,218479.10714285716,0.025619629051005646,0.024019471831453875,0.022379875838805754,0.022188302120719147,0.019799388674751936,0.02034886351809366,0.01959694581726891,0.01882827566042137,0.018410812396681835,0.017542058158092726,0.016224469575541516,19251192.17857143,19289143.75,19327095.32142857,19365046.89285714,19402998.464285716,19440950.035714287,171039.64285714284,180527.5357142857,190015.42857142858,199503.32142857142,208991.2142857143
16,Flagler,0.622983870967742,0.3770161290322581,3373,0.4636929460580913,0.5363070539419087,5600,0.379,0.621,7914,0.39518555667001004,0.60481444332999,10782,0.5170670037926676,0.48293299620733254,16355,0.5377677564825254,0.4622322435174746,20079,0.5245398773006135,0.47546012269938653,27116,0.486404833836858,0.513595166163142,38480,0.5075834175935288,0.4924165824064712,49217,0.4626262626262626,0.5373737373737374,50707,0.3941908713692946,0.6058091286307054,57987,-0.10848957898070538,0.12215825696774196,-0.14975408694190873,-0.11694053599999998,0.013046655670010066,0.00654414706966755,0.09082117089852537,0.11623607473561348,0.025420420542858035,-0.02696577302347125,-0.08472637057173737,-0.08934541080282088,-0.10994860681830687,-0.13051112522386177,-0.15103312632554378,-0.17151476948356503,-0.1919562131198802,101807.55952380953,0.0010706189529708485,0.001518863607946586,0.0018932787885312377,0.002506120610366581,0.0030775130608487653,0.0037858219187380366,0.004547398360213116,0.005056687331013933,0.005850723515422149,0.005971155645360434,0.006102329328781659,14453615.154761905,14482232.916666668,14510850.67857143,14539468.44047619,14568086.202380953,14596703.964285715,66035.35714285714,73189.79761904762,80344.23809523809,87498.67857142857,94653.11904761904
17,Franklin,0.6377551020408163,0.3622448979591837,2973,0.5406797116374872,0.45932028836251293,3382,0.33,0.67,3308,0.40122824974411464,0.5987717502558854,3269,0.4794520547945205,0.5205479452054794,4380,0.5730337078651686,0.4269662921348315,4570,0.4551083591331269,0.544891640866873,4645,0.4090909090909091,0.5909090909090909,5931,0.35873983739837395,0.641260162601626,6049,0.34077079107505076,0.6592292089249493,5494,0.2972136222910217,0.7027863777089783,6059,-0.20546682805897826,0.13692948804081628,-0.07276732136251285,-0.16594053599999997,0.019089348744114665,-0.031070801928479497,0.12608712228116858,0.04680455656812693,-0.05189350420309086,-0.17580935321862606,-0.20658184212294922,-0.24412176279267328,-0.2847992498428482,-0.32539642590876383,-0.3659136074873004,-0.406351109207975,-0.44670924384774935,8535.559523809523,0.0009436555431907302,0.0009172851289420274,0.0007913780935634742,0.0007598319676579813,0.0008241826479069148,0.0008616567642130001,0.0007789742359931377,0.0007793974158067472,0.0007190813447546291,0.0006469625321081947,0.0006376259058597284,744618.1547619047,746085.9166666666,747553.6785714286,749021.4404761905,750489.2023809524,751956.9642857143,6700.857142857143,7067.797619047618,7434.738095238095,7801.678571428572,8168.619047619048
18,Gadsden,0.6579212916246217,0.3420787083753784,10431,0.6888433981576254,0.31115660184237465,12225,0.56,0.44,13212,0.5157680569684638,0.48423194303153605,12577,0.6812933025404158,0.31870669745958435,14394,0.71137339055794,0.2886266094420601,14199,0.6710659898477157,0.32893401015228424,14731,0.7005025125628142,0.29949748743718596,20984,0.6958710976837865,0.3041289023162135,22538,0.704225352112676,0.29577464788732394,22525,0.6905005107252298,0.3094994892747702,22214,0.1878200603752298,0.15709567762462162,0.07539636515762538,0.06405946400000007,0.13362915596846386,0.17077044581741574,0.26442680497394,0.2627621872827157,0.23951809926881418,0.1613219070667865,0.15687271891467602,0.19605701422076172,0.1958179033086811,0.19557926448163043,0.19534109587917392,0.19510339565185253,0.19486616196109652,33783.916666666664,0.0033108883185410383,0.0033157335012762522,0.0031607277424911184,0.00292334250756636,0.00270851256483382,0.00267716945187317,0.0024704132336738236,0.0027575240892410697,0.0026792288556918217,0.0026524992784377655,0.002337716103774221,3362406.583333333,3369043.9166666665,3375681.25,3382318.583333333,3388955.9166666665,3395593.25,25487.25,27146.583333333332,28805.916666666664,30465.25,32124.583333333332
19,Gilchrist,0.7741935483870969,0.22580645161290325,2354,0.5985626283367556,0.40143737166324434,2793,0.33799999999999997,0.662,3108,0.37965760322255787,0.6203423967774421,3012,0.5200553250345781,0.4799446749654218,4017,0.5061124694376528,0.4938875305623472,4795,0.36645962732919257,0.6335403726708075,5395,0.2903225806451613,0.7096774193548387,7015,0.2607361963190184,0.7392638036809815,7819,0.24134419551934824,0.7586558044806517,7937,0.17768595041322313,0.8223140495867768,8472,-0.32499449993677687,0.27336793438709683,-0.014884404663244477,-0.15794053600000002,-0.002481297777442104,0.009532468311578057,0.059165883853652734,-0.04184417523580741,-0.17066183264883866,-0.2738129942979816,-0.3060084376786517,-0.3962889825549212,-0.4547667630239687,-0.513129088767414,-0.5713764147797633,-0.6295091933710637,-0.6875278741881914,13806.130952380952,0.0007471796665559969,0.0007575332244633597,0.0007435317759356946,0.0007000960191452552,0.0007558770996899718,0.0009040796902409924,0.0009047504850770673,0.0009218467158800088,0.0009294919878717879,0.000934645361729658,0.0008915607648858919,1649937.9404761905,1653200.4166666667,1656462.8928571427,1659725.369047619,1662987.8452380951,1666250.3214285714,9728.035714285714,10543.654761904761,11359.27380952381,12174.892857142857,12990.511904761905
