,counties,1976D,1976R,1976Total,1980D,1980R,1980Total,1984D,1984R,1984Total,1988D,1988R,1988Total,1992D,1992R,1992Total,1996D,1996R,1996Total,2000D,2000R,2000Total,2004D,2004R,2004Total,2008D,2008R,2008Total,2012D,2012R,2012Total,2016D,2016R,2016Total,Partisan Lean 2016,Partisan Lean 1976,Partisan Lean 1980,Partisan Lean 1984,Partisan Lean 1988,Partisan Lean 1992,Partisan Lean 1996,Partisan Lean 2000,Partisan Lean 2004,Partisan Lean 2008,Partisan Lean 2012,Partisan Lean 2020,Partisan Lean 2024,Partisan Lean 2028,Partisan Lean 2032,Partisan Lean 2036,Partisan Lean 2040,2040Total,2020Total,2024Total,2028Total,2032Total,2036Total
10,Glenn,0.46059365404298874,0.5394063459570113,7773,0.2925764192139738,0.7074235807860262,8312,0.2923857868020305,0.7076142131979696,8632,0.3689024390243902,0.6310975609756098,7966,0.41144414168937327,0.5885558583106267,8816,0.35995500562429694,0.640044994375703,8866,0.3014705882352941,0.6985294117647058,8711,0.32215447154471544,0.6778455284552846,9454,0.38729508196721313,0.6127049180327869,9879,0.36918304033092036,0.6308169596690796,9238,0.34652406417112297,0.653475935828877,9470,-0.156156386178877,-0.04023195995701129,-0.3208706137860262,-0.2035547491979695,-0.013236461975609792,-0.09907871503362675,-0.08699157995970308,-0.10683321432970588,-0.13882994174928454,-0.14725410864978689,-0.17816959286707962,-0.2017617196601833,-0.22073392640162126,-0.23966867565228256,-0.2585661150280316,-0.27742639127384905,-0.2962496502706813,10907.02380952381,9929.642857142857,10125.119047619048,10320.595238095239,10516.07142857143,10711.547619047618
11,Humboldt,0.5657620041753653,0.4342379958246346,43372,0.4153846153846154,0.5846153846153846,48692,0.4756097560975609,0.524390243902439,53891,0.5808748728382502,0.4191251271617497,52146,0.6119592875318067,0.38804071246819344,60021,0.5545796737766625,0.4454203262233375,55757,0.5168800931315483,0.48311990686845163,55972,0.5966907962771458,0.40330920372285417,65886,0.6465067778936392,0.35349322210636075,63968,0.646803900325027,0.3531960996749729,57686,0.6437718277066355,0.35622817229336434,60014,0.14109137735663557,0.06493639017536523,-0.19806241761538462,-0.02033077990243909,0.19873597183825026,0.10143643080880671,0.10763308819266248,0.10857629056654827,0.13570638298314586,0.11195758727663918,0.09945126712702701,0.1055651862998701,0.1011482711588485,0.09674007648774463,0.09234056792013945,0.08794971129237439,0.08356747264193487,67746.79761904762,63107.03571428571,64034.98809523809,64962.94047619047,65890.89285714286,66818.84523809524
12,Imperial,0.4913353720693171,0.508664627930683,21262,0.39762931034482757,0.6023706896551724,21579,0.37310414560161775,0.6268958543983821,22301,0.4424242424242424,0.5575757575757576,23365,0.5327669902912621,0.4672330097087378,25318,0.6004343105320304,0.3995656894679696,26400,0.5526859504132231,0.44731404958677684,28937,0.5303643724696356,0.46963562753036436,34274,0.6327568667344862,0.3672431332655137,38820,0.6632756866734486,0.33672431332655134,38565,0.7200424178154825,0.27995758218451744,48091,0.21736196746548253,-0.00949024193068293,-0.21581772265517246,-0.12283639039838223,0.06028534142424241,0.022244133568262048,0.15348772494803042,0.14438214784822312,0.06937995917563566,0.09820767611748615,0.11592305347544862,0.18098996106819953,0.1966261397378446,0.21223144735349564,0.22780600557463515,0.24334993534291982,0.25886335688793594,64854.38095238096,48073.78571428571,51429.90476190476,54786.02380952382,58142.142857142855,61498.26190476191
13,Inyo,0.40307692307692305,0.596923076923077,6706,0.2855567805953694,0.7144432194046307,8027,0.28701825557809335,0.7129817444219068,8338,0.3452138492871691,0.654786150712831,7837,0.42175066312997345,0.5782493368700266,8464,0.39907192575406036,0.6009280742459397,7569,0.3598726114649682,0.6401273885350319,7815,0.39693877551020407,0.6030612244897959,8616,0.45294725956566706,0.547052740434333,8554,0.44099378881987583,0.5590062111801243,8036,0.42651933701657463,0.5734806629834254,8179,-0.07616111333342535,-0.09774869092307698,-0.32789025240463066,-0.20892228042190664,-0.03692505171283089,-0.08877219359302657,-0.04787465982993966,-0.0484311911000318,-0.0640456377837959,-0.08160193105133295,-0.10635884437812415,-0.09436352076484411,-0.10001308555676403,-0.10565149621547931,-0.11127879669821894,-0.11689503070285312,-0.1225002416699752,8587.261904761905,8348.57142857143,8396.309523809525,8444.047619047618,8491.785714285714,8539.52380952381
14,Kern,0.46578140960163433,0.5342185903983656,110961,0.36120042872454444,0.6387995712754555,122121,0.3434343434343434,0.6565656565656566,145744,0.37815975733063695,0.621840242669363,147293,0.42839036755386556,0.5716096324461343,179263,0.4048672566371681,0.5951327433628318,171391,0.3735810113519092,0.6264189886480908,182308,0.3282828282828283,0.6717171717171717,211174,0.4094165813715455,0.5905834186284544,233808,0.4141829393627955,0.5858170606372045,222189,0.4320855614973262,0.5679144385026738,244163,-0.07059488885267379,-0.0350442043983657,-0.2522466042754556,-0.15250619256565656,-0.003979143669363028,-0.08213248916913446,-0.04207932894683192,-0.0347227912130908,-0.13270158501117169,-0.1251326092454545,-0.1331696938352045,-0.1351863341625119,-0.14779627168225318,-0.16038131296166824,-0.17294155611413942,-0.18547709867415563,-0.19798803760195938,324352.8095238095,258350.60714285713,271551.0476190476,284751.4880952381,297951.9285714286,311152.36904761905
15,Kings,0.49337410805300713,0.5066258919469929,16642,0.4093816631130064,0.5906183368869936,19021,0.35383064516129037,0.6461693548387097,20848,0.4303030303030303,0.5696969696969697,21482,0.4832298136645963,0.5167701863354037,25651,0.47650273224043715,0.5234972677595628,25815,0.40289256198347106,0.5971074380165289,28335,0.34006054490413723,0.6599394550958627,32110,0.42813455657492355,0.5718654434250765,35108,0.42358974358974355,0.5764102564102564,31418,0.4296536796536797,0.5703463203463204,34310,-0.0730267706963203,-0.007451505946992898,-0.20406536988699364,-0.14210989083870962,0.04816412930303032,-0.027293043058403743,0.029556146656437132,-0.00541124058152892,-0.12092386838986274,-0.10641463404207646,-0.12376288960825643,-0.146443639961916,-0.1683102884311296,-0.19013376481210287,-0.2119142392413238,-0.23365188085149668,-0.25534685777947175,46275.142857142855,37329.607142857145,39118.71428571428,40907.82142857143,42696.928571428565,44486.03571428571
16,Lake,0.5383817427385892,0.46161825726141076,12285,0.40111731843575416,0.5988826815642458,16654,0.4430894308943089,0.556910569105691,19831,0.5121951219512195,0.4878048780487805,19502,0.6118598382749326,0.3881401617250674,23213,0.5828367103694875,0.41716328963051247,21335,0.5517241379310345,0.44827586206896547,20919,0.5423037716615698,0.4576962283384302,24719,0.5991735537190083,0.40082644628099173,25629,0.5889121338912134,0.4110878661087866,23391,0.5200892857142858,0.4799107142857143,24684,0.017408835364285835,0.037556128738589156,-0.21232971456424587,-0.052851105105691076,0.13005622095121955,0.1013369815519326,0.13589012478548745,0.1434203353660345,0.08131935836756987,0.06462436310200825,0.04155950069321346,0.016718221581051296,0.00066199703341141,-0.01536252714898012,-0.03135547589382526,-0.047316973391730244,-0.063247143102096,29013.72619047619,25808.607142857145,26449.630952380954,27090.654761904763,27731.678571428572,28372.70238095238
17,Lassen,0.5580678314491264,0.4419321685508736,6998,0.3971238938053097,0.6028761061946902,8198,0.37780040733197556,0.6221995926680244,8761,0.40081799591002043,0.5991820040899795,8802,0.46915351506456243,0.5308464849354375,10362,0.38979118329466356,0.6102088167053364,9875,0.29652996845425866,0.7034700315457413,10586,0.2799188640973631,0.720081135902637,11450,0.3240454076367389,0.675954592363261,11433,0.29533678756476683,0.7046632124352331,10725,0.2270742358078603,0.7729257641921398,10699,-0.2756062145421397,0.05724221744912639,-0.21632313919469032,-0.11814012866802442,0.018679094910020455,-0.041369341658437586,-0.057155402289336465,-0.11177383411074132,-0.18106554919663687,-0.21050378298026112,-0.25201584563323315,-0.3333596744022884,-0.3762980553197792,-0.41915166149127003,-0.4619208270048034,-0.5046058839773195,-0.5472071625702029,12824.880952380952,11596.785714285714,11842.404761904763,12088.02380952381,12333.642857142859,12579.261904761905
18,Los Angeles,0.5097435897435898,0.4902564102564102,459077,0.4446902654867257,0.5553097345132744,1440185,0.44893832153690594,0.551061678463094,612914,0.5253036437246964,0.47469635627530365,644671,0.6441717791411042,0.3558282208588957,1753403,0.6566998892580288,0.3433001107419712,1411014,0.662148070907195,0.337851929092805,1695154,0.6393110435663627,0.3606889564336373,1023280,0.7061224489795919,0.2938775510204082,1318248,0.7148717948717949,0.28512820512820514,1181067,0.7622080679405521,0.23779193205944799,1434308,0.2595276175905521,0.008917975743589768,-0.16875676751327434,-0.04700221446309405,0.14316474272469643,0.13364892241810422,0.20975330367402878,0.253844268342195,0.17832663027236273,0.17157325836259185,0.16751916167379488,0.23207519302784618,0.2414363433512321,0.25077901162838145,0.2601032706950477,0.26940919295721244,0.27869685039456726,1501670.107142857,1399550.6428571427,1419974.5357142857,1440398.4285714284,1460822.3214285714,1481246.214285714
19,Madera,0.5267489711934157,0.4732510288065844,14892,0.4230355220667384,0.5769644779332616,19780,0.39209726443769,0.60790273556231,23241,0.44512195121951215,0.5548780487804877,24281,0.4538558786346397,0.5461441213653604,30245,0.40552486187845305,0.594475138121547,30662,0.36506276150627615,0.634937238493724,33395,0.3515704154002027,0.6484295845997974,38850,0.4325153374233129,0.5674846625766872,42474,0.4121274409044193,0.5878725590955807,39933,0.4213362068965517,0.5786637931034483,43507,-0.08134424345344826,0.025923357193415653,-0.19041151093326164,-0.10384327156230999,0.06298305021951217,-0.0566669780883603,-0.041421723705546976,-0.04324104105872384,-0.1094139978937973,-0.10203385319368713,-0.1352251922935807,-0.1515467247357094,-0.17102848732795906,-0.19047178639550566,-0.20987677351888578,-0.22924359938437533,-0.24857241379095285,60741.86904761904,47413.71428571429,50079.34523809524,52744.97619047618,55410.607142857145,58076.23809523809
