,Unnamed: 0,counties,1976D,1976R,1976Total,1980D,1980R,1980Total,1984D,1984R,1984Total,1988D,1988R,1988Total,1992D,1992R,1992Total,1996D,1996R,1996Total,2000D,2000R,2000Total,2004D,2004R,2004Total,2008D,2008R,2008Total,2012D,2012R,2012Total,2016D,2016R,2016Total,Partisan Lean 2016,Partisan Lean 1976,Partisan Lean 1980,Partisan Lean 1984,Partisan Lean 1988,Partisan Lean 1992,Partisan Lean 1996,Partisan Lean 2000,Partisan Lean 2004,Partisan Lean 2008,Partisan Lean 2012,Partisan Lean 2020,Partisan Lean 2024,Partisan Lean 2028,Partisan Lean 2032,Partisan Lean 2036,Partisan Lean 2040,2040Total,2020Total,2024Total,2028Total,2032Total,2036Total
0,0,Alameda,0.603125,0.396875,407681,0.5596755504055619,0.440324449594438,417617,0.5947315096251267,0.4052684903748733,480874,0.6558704453441295,0.3441295546558705,478997,0.7535885167464116,0.2464114832535885,530145,0.7401574803149605,0.2598425196850393,462044,0.7422459893048129,0.2577540106951872,494336,0.7634517766497462,0.23654822335025386,562090,0.8034800409416581,0.19651995905834185,622913,0.8130165289256198,0.18698347107438013,596893,0.8434125269978402,0.15658747300215986,659543,0.3322796181998402,0.092602143277,0.11272896482156192,0.18642770706012668,0.19488603205012955,0.21903932612941157,0.19280484711696055,0.23956553895481292,0.27589164423174617,0.2665915658206581,0.2933779064056198,0.33673450418812934,0.35548308211591007,0.37419464407108194,0.39286933592957496,0.4115073027066103,0.43010868856363516,793789.9880952381,665937.4285714285,691507.9404761905,717078.4523809524,742648.9642857143,768219.4761904762
1,1,Alpine,0.4568034557235421,0.5431965442764579,447,0.34404761904761905,0.655952380952381,461,0.42319430315361134,0.5768056968463886,466,0.4294541709577756,0.5705458290422245,552,0.49206349206349204,0.5079365079365079,631,0.4941176470588236,0.5058823529411764,614,0.4849785407725322,0.5150214592274678,586,0.5450819672131149,0.4549180327868853,701,0.6261585993820803,0.3738414006179197,694,0.6223849372384938,0.3776150627615063,654,0.6065573770491803,0.3934426229508197,602,0.09542446825118034,-0.053719400999457934,-0.10289896653638098,0.014890500588611355,-0.03153024233622437,-0.04248569855350798,-0.05323498613917638,-0.017701909577467756,0.05752183479511486,0.08927012426108027,0.10274631471849371,0.13804520077496818,0.16300004513372812,0.18790562027116664,0.21276212035193964,0.237569738395095,0.2623286662832385,721.9880952380952,673.1785714285714,682.9404761904761,692.702380952381,702.4642857142857,712.2261904761905
2,2,Amador,0.5217842323651452,0.4782157676348547,8018,0.3712035995500562,0.6287964004499437,9670,0.375,0.625,11363,0.42959183673469387,0.5704081632653061,12338,0.490674318507891,0.509325681492109,15434,0.4608399545970489,0.5391600454029513,14452,0.4025289778714437,0.5974710221285564,15464,0.3708206686930091,0.6291793313069909,17891,0.4254881808838643,0.5745118191161357,18879,0.3991726990692864,0.6008273009307136,17693,0.3638344226579521,0.6361655773420479,17963,-0.14729848614004792,0.011261375642145133,-0.0757429860339438,-0.033303802564999985,-0.03139257655930611,-0.04387487210910901,-0.08651267860095108,-0.10015147247855627,-0.11673946372499089,-0.11140029423713571,-0.12046592345071366,-0.16339750001265685,-0.1785562041065063,-0.193684979841116,-0.2087839451608886,-0.2238532173143568,-0.23889291285971126,23771.285714285714,19820.214285714283,20610.428571428572,21400.642857142855,22190.85714285714,22981.071428571428
3,3,Butte,0.4598540145985402,0.5401459854014597,54854,0.3382857142857143,0.6617142857142857,66012,0.35873983739837395,0.641260162601626,71964,0.4308943089430894,0.5691056910569106,71631,0.506631299734748,0.493368700265252,85014,0.44,0.56,79550,0.4074074074074074,0.5925925925925926,83721,0.450920245398773,0.5490797546012269,96157,0.5123711340206186,0.4876288659793814,98707,0.4895615866388309,0.5104384133611691,91021,0.4798657718120805,0.5201342281879194,97002,-0.031267136985919486,-0.05066884212445982,-0.10866087129828572,-0.049563965166626034,-0.030090104350910585,-0.02791789088225205,-0.10735263319799998,-0.09527304294259259,-0.03663988701922699,-0.024517341100381396,-0.030077035881169112,-0.03256948321766018,-0.02918701042481331,-0.025811215766209372,-0.02244207292404532,-0.019079555735800113,-0.01572363819298772,119238.71428571429,102718.53571428571,106022.57142857143,109326.60714285714,112630.64285714287,115934.67857142858
4,4,Calaveras,0.4938144329896907,0.5061855670103093,7528,0.3367117117117117,0.6632882882882883,10275,0.3485309017223911,0.651469098277609,11877,0.4260958205912334,0.5739041794087666,13574,0.499290780141844,0.500709219858156,16991,0.4452133794694349,0.5547866205305652,17206,0.4008528784648187,0.5991471215351812,18876,0.37857142857142856,0.6214285714285714,22343,0.4332988624612203,0.5667011375387798,23421,0.4122533748701973,0.5877466251298027,21862,0.37061403508771934,0.6293859649122807,23531,-0.14051887371028066,-0.01670842373330933,-0.11023487387228831,-0.05977290084260889,-0.03488859270276656,-0.03525841047515599,-0.10213925372856508,-0.10182757188518127,-0.10898870384657144,-0.10358961265977973,-0.10738524764980273,-0.15120687087200935,-0.16431572655018556,-0.17739870095648058,-0.19045589608617064,-0.2034874133327591,-0.21649335349275134,32863.32142857143,25948.678571428572,27331.607142857145,28714.535714285714,30097.464285714283,31480.392857142855
5,5,Colusa,0.4616956077630235,0.5383043922369765,5182,0.3562708102108769,0.6437291897891232,4995,0.3370558375634518,0.6629441624365482,5188,0.3965517241379311,0.603448275862069,5172,0.4100257069408741,0.589974293059126,5635,0.4026402640264026,0.5973597359735973,5612,0.3246618106139438,0.6753381893860562,5590,0.3198380566801619,0.680161943319838,6166,0.40736949846468784,0.5926305015353123,6448,0.3912155260469867,0.6087844739530133,6045,0.4282632146709817,0.5717367853290183,6697,-0.08286969412701828,-0.04882724895997653,-0.0906757753731231,-0.07124796500154817,-0.06443268915606887,-0.12452348367612592,-0.1447123691715974,-0.1780186397360562,-0.1677220757378381,-0.12951897665631218,-0.12842309647301337,-0.13261150600341853,-0.13373378957374005,-0.13485385738038946,-0.13597171815544762,-0.137087380579481,-0.13820085328194232,7708.547619047618,6767.535714285714,6955.738095238095,7143.940476190476,7332.142857142857,7520.345238095238
6,6,Contra Costa,0.4943589743589744,0.5056410256410256,256534,0.4267734553775743,0.5732265446224256,287545,0.45005045408678107,0.549949545913219,316318,0.5161616161616162,0.4838383838383839,331511,0.6330845771144278,0.3669154228855721,382823,0.6127612761276128,0.3872387238723872,352602,0.6131386861313868,0.3868613138686131,381478,0.6305668016194332,0.3694331983805668,413028,0.6922290388548057,0.30777096114519426,453244,0.6803699897225076,0.3196300102774923,439145,0.7336956521739131,0.266304347826087,473014,0.22256274337591309,-0.016163882364025606,-0.02017313020642575,0.041746651521781086,0.05517720286761618,0.09853538649742777,0.06540864292961279,0.1104582357813868,0.14300666920143323,0.15534056373380567,0.16073136720250758,0.22168220107926118,0.24271550108689155,0.26370727431526575,0.2846576844168993,0.30556689407876547,0.3264350650299406,584942.130952381,489370.28571428574,508484.6547619048,527599.0238095238,546713.3928571428,565827.7619047619
7,7,Del Norte,0.5291060291060291,0.4708939708939709,5478,0.36813186813186816,0.6318681318681318,6987,0.4028629856850716,0.5971370143149284,6841,0.4912998976458546,0.5087001023541453,7468,0.541029207232267,0.458970792767733,9353,0.4987864077669903,0.5012135922330097,8889,0.4078091106290673,0.5921908893709328,8294,0.4205702647657841,0.5794297352342159,9421,0.4656410256410256,0.5343589743589744,9531,0.4509394572025052,0.5490605427974947,8770,0.4046563192904656,0.5953436807095344,9558,-0.10647658950753441,0.01858317238302909,-0.07881471745213187,-0.005440816879928367,0.030315484351854605,0.006480016615266981,-0.04856622543100969,-0.0948713397209327,-0.06698986765221593,-0.07124744947997441,-0.06869916531749481,-0.1259097359098078,-0.142113681265144,-0.15828563460488,-0.17442572200607742,-0.1905340688019308,-0.20661079958767914,10580.690476190477,9701.642857142857,9877.452380952382,10053.261904761905,10229.071428571428,10404.880952380952
8,8,El Dorado,0.5056994818652849,0.494300518134715,26154,0.3359908883826879,0.664009111617312,36449,0.3417849898580121,0.6582150101419878,42478,0.39735772357723576,0.6026422764227641,50603,0.4481327800829876,0.5518672199170125,64887,0.4120317820658343,0.5879682179341658,63196,0.38372093023255816,0.6162790697674418,72136,0.3786802030456852,0.6213197969543147,86364,0.4460431654676259,0.5539568345323741,93309,0.4080578512396694,0.5919421487603306,88998,0.4250832408435072,0.5749167591564928,95149,-0.08604966795449281,-0.0048233748577151125,-0.1109556972013121,-0.0665188127069879,-0.06362668971676422,-0.08641641053401239,-0.1353208511321657,-0.11895952011744182,-0.10887992937231478,-0.09084530965337412,-0.11158077128033062,-0.10770740435926474,-0.10936250567382189,-0.11101433926401327,-0.11266291800758399,-0.11430825470630257,-0.11595036208655962,137556.05952380953,105595.10714285713,111987.29761904762,118379.48809523809,124771.67857142857,131163.86904761905
9,9,Fresno,0.5081799591002044,0.4918200408997955,150805,0.4415300546448087,0.5584699453551912,161386,0.4515151515151515,0.5484848484848485,192936,0.4944275582573455,0.5055724417426546,189870,0.5090470446320868,0.4909529553679132,219161,0.4886731391585761,0.511326860841424,208393,0.4474505723204995,0.5525494276795005,220835,0.4207870837537841,0.5792129162462161,247463,0.5107252298263534,0.4892747701736465,273452,0.5092213114754099,0.4907786885245902,259697,0.5324675324675324,0.4675324675324675,287062,0.021334623669532427,-0.0023428976227956033,-0.005416530939191311,0.043211348950151496,0.03344314496334555,-0.025502145984913183,-0.05867949403942391,-0.05522987802950047,-0.0667730486642159,-0.026163245294646642,-0.010417311044590094,-0.019534068585622677,-0.01865892538177505,-0.017785510003738292,-0.01691381564233918,-0.016043835528578132,-0.015175562933311237,363192.52380952385,297428.89285714284,310581.61904761905,323734.34523809527,336887.0714285715,350039.79761904763
