,Unnamed: 0,counties,1976D,1976R,1976Total,1980D,1980R,1980Total,1984D,1984R,1984Total,1988D,1988R,1988Total,1992D,1992R,1992Total,1996D,1996R,1996Total,2000D,2000R,2000Total,2004D,2004R,2004Total,2008D,2008R,2008Total,2012D,2012R,2012Total,2016D,2016R,2016Total,Partisan Lean 2016,Partisan Lean 1976,Partisan Lean 1980,Partisan Lean 1984,Partisan Lean 1988,Partisan Lean 1992,Partisan Lean 1996,Partisan Lean 2000,Partisan Lean 2004,Partisan Lean 2008,Partisan Lean 2012,Partisan Lean 2020,Partisan Lean 2024,Partisan Lean 2028,Partisan Lean 2032,Partisan Lean 2036,Partisan Lean 2040,2040Total,1976Proportion,1980Proportion,1984Proportion,1988Proportion,1992Proportion,1996Proportion,2000Proportion,2004Proportion,2008Proportion,2012Proportion,2016Proportion,2020Proportion,2024Proportion,2028Proportion,2032Proportion,2036Proportion,2040Proportion,2020Total,2024Total,2028Total,2032Total,2036Total
10,10,Collier,0.3744939271255061,0.6255060728744939,23710,0.24442082890541975,0.7555791710945802,33613,0.2122122122122122,0.7877877877877878,42691,0.24723618090452265,0.7527638190954774,51980,0.3283018867924529,0.6716981132075471,71944,0.3528114663726571,0.6471885336273429,72517,0.3312945973496432,0.6687054026503567,92202,0.34409687184661963,0.6559031281533805,128683,0.3864783047426841,0.6135216952573158,141988,0.34879032258064524,0.6512096774193549,149324,0.366839378238342,0.633160621761658,172510,-0.144293530559658,-0.1360289295974939,-0.20252575667858028,-0.19609159035278778,-0.21374823238947732,-0.2062473038245471,-0.1945411668253429,-0.17138585300035675,-0.14346326057138037,-0.15041017037831594,-0.1708482999393548,-0.1303687380438845,-0.12065591992134728,-0.1109622781550641,-0.10128773717309514,-0.09163222184939457,-0.08199565750022941,277015.97619047615,0.007525756114716519,0.009116707581055105,0.010213035729237688,0.012082002348994146,0.013537670415756866,0.013672814785652982,0.015462428957381974,0.016910335130375934,0.016878975364361098,0.017584097769298153,0.01815429031521072,35513456.73809524,35583718.83333333,35653980.928571425,35724243.02380952,35794505.11904762,35864767.21428571,189188.35714285716,206753.88095238095,224319.40476190473,241884.92857142858,259450.45238095237
11,11,Columbia,0.6285425101214575,0.3714574898785425,10766,0.5020576131687243,0.4979423868312758,11648,0.326,0.674,13075,0.3444108761329305,0.6555891238670695,11916,0.4601990049751243,0.5398009950248756,14954,0.4685714285714286,0.5314285714285715,16326,0.39157245632065774,0.6084275436793422,18514,0.32358870967741943,0.6764112903225806,24991,0.3292806484295846,0.6707193515704154,28215,0.3147773279352227,0.6852226720647773,27227,0.2714138286893705,0.7285861713106295,28864,-0.23971908010862952,0.11801965339845744,0.055111027584724304,-0.08230380256499997,-0.1165735371610695,-0.07435018564187573,-0.0787812046265714,-0.11110799402934224,-0.16397142274058057,-0.20760782669141542,-0.20486129458477736,-0.25389053981426457,-0.2769082746701059,-0.2998805648076086,-0.3228075893194813,-0.3456895262417561,-0.36852655256221567,46499.41666666667,0.003417220174231887,0.003159236304528899,0.003127953014916089,0.002769702577734018,0.0028138875152511427,0.0030782075125911244,0.003104828634053165,0.003284087138497121,0.0033540883025709803,0.003206197462997782,0.0030375365814053804,5351533.583333334,5362111.916666667,5372690.25,5383268.583333334,5393846.916666667,5404425.25,33276.5,35921.083333333336,38565.66666666667,41210.25,43854.833333333336
12,12,DeSoto,0.5756646216768916,0.4243353783231084,4822,0.44720496894409945,0.5527950310559007,6285,0.3233233233233233,0.6766766766766766,7129,0.3393756294058409,0.6606243705941591,6464,0.4629388816644993,0.5370611183355005,7429,0.4959630911188005,0.5040369088811996,7492,0.4381443298969072,0.5618556701030928,7812,0.41431451612903225,0.5856854838709677,9510,0.43756345177664974,0.5624365482233502,10164,0.4275582573454914,0.5724417426545086,9887,0.3581011351909185,0.6418988648090815,10903,-0.15303177360708148,0.06514176495389157,0.0002583833600994234,-0.08498047924167668,-0.1216087838881591,-0.0716103089525007,-0.05138954207919949,-0.06453612045309276,-0.07324561628896775,-0.09932502334435028,-0.09208036517450863,-0.11610535764431162,-0.12167981116941462,-0.12724325885611165,-0.13279574407721384,-0.13833730994963744,-0.14386799933641825,14710.380952380952,0.0015305439048993274,0.0017046531742757663,0.0017054819918422028,0.0015024637011138546,0.001397911619018372,0.001412589163563194,0.0013100854104582116,0.001249716645476676,0.001208256370984634,0.0011642734901626721,0.0011473898748289519,1282239.6904761905,1284767.166666667,1287294.6428571427,1289822.1190476192,1292349.5952380951,1294877.0714285714,11551.035714285714,12182.904761904763,12814.77380952381,13446.642857142857,14078.511904761905
13,13,Dixie,0.7951564076690212,0.2048435923309788,2752,0.6459183673469387,0.35408163265306125,3173,0.35700000000000004,0.643,3428,0.402,0.598,3397,0.5698924731182795,0.4301075268817204,4373,0.5533980582524272,0.4466019417475727,3800,0.4035087719298245,0.5964912280701754,4667,0.3064516129032258,0.6935483870967742,6442,0.2704918032786885,0.7295081967213115,7293,0.2621951219512195,0.7378048780487805,6959,0.17893660531697342,0.8210633946830266,7246,-0.3321963034810266,0.28463355094602116,0.19897178176293873,-0.051303802564999945,-0.05898441329399995,0.035343282501279494,0.006045425054427178,-0.09917167842017549,-0.1811085195147742,-0.2663966718423115,-0.2574435005687805,-0.3724494142050787,-0.42282763921329547,-0.4731064007312682,-0.5232860907338761,-0.5733670988831818,-0.623349812547076,11417.440476190477,0.0008735082592872148,0.0008605989692883066,0.0008200858841401419,0.0007895837241156812,0.0008228654610266983,0.0007164760840283151,0.0007826636726329329,0.0008465483312471869,0.0008669631752844287,0.0008194780234694077,0.0007625412302128392,1256259.8452380951,1258742.083333333,1261224.3214285714,1263706.5595238095,1266188.7976190476,1268671.0357142857,8314.642857142857,8935.202380952382,9555.761904761905,10176.32142857143,10796.880952380952
14,14,Duval,0.5852674066599395,0.4147325933400606,182561,0.4783057851239669,0.5216942148760331,195554,0.376,0.624,206249,0.3688442211055277,0.6311557788944724,203979,0.4270833333333333,0.5729166666666666,249926,0.4692144373673036,0.5307855626326964,254123,0.4144602851323829,0.5855397148676171,265181,0.4185110663983903,0.5814889336016096,381061,0.4904137235116045,0.5095862764883956,416693,0.4818181818181818,0.5181818181818182,412733,0.4926778242677825,0.5073221757322176,436573,-0.01845508453021749,0.07474454993693946,0.03135919953996685,-0.032303802564999984,-0.09214019218847225,-0.1074658572836667,-0.07813819583069637,-0.08822016521761705,-0.0690490660196097,-0.046474751609395515,-0.037820440701818225,-0.015017403645714467,-0.003493397008419663,0.008007857379837446,0.019486449183204968,0.03094246753678931,0.042376001050897116,671997.1785714286,0.0579464176321705,0.05303925964078333,0.049341275822059535,0.04741198070691568,0.04702846403214237,0.04791396102671777,0.04447129534443407,0.05007552835352132,0.049534826052213696,0.048602618632073435,0.04594326697456663,73408195.96428572,73553233.25,73698270.53571428,73843307.82142857,73988345.10714287,74133382.39285715,490700.5714285714,526959.8928571428,563219.2142857143,599478.5357142857,635737.8571428572
15,15,Escambia,0.4797570850202429,0.5202429149797569,80715,0.3925233644859813,0.6074766355140188,88559,0.287,0.713,93549,0.3158953722334004,0.6841046277665995,95460,0.37794299876084253,0.6220570012391574,105221,0.3831877729257642,0.6168122270742359,107925,0.3592630501535312,0.6407369498464688,116856,0.34040404040404043,0.6595959595959595,143278,0.402834008097166,0.5971659919028339,154874,0.3961499493414387,0.6038500506585613,148967,0.39304531085353,0.60695468914647,154172,-0.11808759794446999,-0.030765771702757128,-0.054423221098018726,-0.12130380256500001,-0.14508904106059956,-0.15660619185615748,-0.16416486027223576,-0.14341740019646876,-0.14715609201395957,-0.134054467023834,-0.12348867317856133,-0.11797535252755154,-0.11278043056264053,-0.10759576511371804,-0.10242131576096014,-0.09725704232303656,-0.09210290485519224,218479.10714285716,0.025619629051005646,0.024019471831453875,0.022379875838805758,0.022188302120719147,0.019799388674751936,0.02034886351809366,0.01959694581726891,0.01882827566042137,0.01841081239668184,0.017542058158092726,0.016224469575541516,19251192.17857143,19289143.75,19327095.32142857,19365046.89285714,19402998.46428572,19440950.035714287,171039.64285714284,180527.5357142857,190015.42857142858,199503.32142857142,208991.2142857143
16,16,Flagler,0.6229838709677421,0.3770161290322581,3373,0.4636929460580913,0.5363070539419087,5600,0.379,0.621,7914,0.3951855566700101,0.60481444332999,10782,0.5170670037926676,0.4829329962073325,16355,0.5377677564825254,0.4622322435174746,20079,0.5245398773006135,0.4754601226993865,27116,0.48640483383685795,0.513595166163142,38480,0.5075834175935288,0.4924165824064712,49217,0.4626262626262626,0.5373737373737374,50707,0.3941908713692946,0.6058091286307054,57987,-0.1169420374287054,0.11246101424474209,0.016746360474091282,-0.02930380256499998,-0.06579885662398988,-0.017482186824332446,-0.009584876715474588,0.021859426950613492,-0.0011552985811420502,-0.029305057527471257,-0.05701235989373743,-0.06834043762550124,-0.07582680109011974,-0.08329838396572598,-0.09075524450100758,-0.09819744060099467,-0.10562502982977051,101807.55952380953,0.0010706189529708485,0.001518863607946586,0.0018932787885312375,0.0025061206103665808,0.003077513060848765,0.0037858219187380366,0.004547398360213116,0.005056687331013933,0.005850723515422149,0.005971155645360434,0.006102329328781659,14453615.154761905,14482232.916666668,14510850.67857143,14539468.44047619,14568086.202380953,14596703.964285715,66035.35714285714,73189.79761904762,80344.23809523809,87498.67857142857,94653.11904761904
17,17,Franklin,0.6377551020408163,0.3622448979591837,2973,0.5406797116374872,0.4593202883625129,3382,0.33,0.67,3308,0.40122824974411453,0.5987717502558854,3269,0.4794520547945205,0.5205479452054794,4380,0.5730337078651686,0.4269662921348315,4570,0.4551083591331269,0.5448916408668729,4645,0.4090909090909091,0.5909090909090909,5931,0.35873983739837395,0.641260162601626,6049,0.3407707910750508,0.6592292089249493,5494,0.2972136222910217,0.7027863777089783,6059,-0.21391928650697828,0.1272322453178163,0.09373312605348716,-0.07830380256499997,-0.059756163549885444,-0.05509713582247949,0.025681074667168624,-0.04757209121687306,-0.07846922332709089,-0.17814863772262607,-0.17886783144494922,-0.22311663658940972,-0.25067725730808377,-0.27818346413010886,-0.3056354714947389,-0.3330334925760212,-0.36037773929285777,8535.559523809523,0.0009436555431907303,0.0009172851289420273,0.0007913780935634743,0.0007598319676579813,0.0008241826479069148,0.0008616567642130001,0.0007789742359931378,0.0007793974158067472,0.0007190813447546291,0.0006469625321081947,0.0006376259058597284,744618.1547619047,746085.9166666665,747553.6785714286,749021.4404761904,750489.2023809523,751956.9642857143,6700.857142857143,7067.797619047618,7434.738095238095,7801.678571428572,8168.619047619048
18,18,Gadsden,0.6579212916246217,0.3420787083753784,10431,0.6888433981576254,0.31115660184237465,12225,0.56,0.44,13212,0.5157680569684638,0.4842319430315361,12577,0.6812933025404158,0.31870669745958435,14394,0.71137339055794,0.2886266094420601,14199,0.6710659898477157,0.32893401015228424,14731,0.7005025125628142,0.299497487437186,20984,0.6958710976837865,0.3041289023162135,22538,0.7042253521126759,0.29577464788732394,22525,0.6905005107252298,0.3094994892747702,22214,0.17936760192722978,0.14739843490162163,0.24189681257362539,0.15169619743500007,0.05478364367446387,0.14674411192341574,0.16402075735994004,0.16838553949771573,0.21294238014481415,0.1589826225627865,0.18458672959267586,0.21706210742143384,0.22993985555380192,0.24279217869800362,0.25561917705113046,0.268420950219145,0.2811975972215208,33783.916666666664,0.0033108883185410387,0.003315733501276252,0.0031607277424911184,0.0029233425075663603,0.00270851256483382,0.00267716945187317,0.0024704132336738236,0.0027575240892410697,0.0026792288556918213,0.002652499278437765,0.002337716103774221,3362406.583333333,3369043.916666666,3375681.25,3382318.583333333,3388955.916666666,3395593.25,25487.25,27146.583333333332,28805.916666666664,30465.25,32124.583333333332
19,19,Gilchrist,0.7741935483870969,0.22580645161290325,2354,0.5985626283367556,0.4014373716632443,2793,0.338,0.662,3108,0.37965760322255787,0.6203423967774421,3012,0.5200553250345781,0.4799446749654218,4017,0.5061124694376528,0.4938875305623472,4795,0.36645962732919257,0.6335403726708075,5395,0.2903225806451613,0.7096774193548387,7015,0.2607361963190184,0.7392638036809815,7819,0.24134419551934824,0.7586558044806517,7937,0.17768595041322313,0.8223140495867768,8472,-0.3334469583847769,0.26367069166409685,0.15161604275275553,-0.07030380256499996,-0.0813268100714421,-0.014493865582421939,-0.041240163760347226,-0.1362208230208074,-0.1972375517728387,-0.2761522788019816,-0.27829442700065177,-0.3752834992443468,-0.4206443345491948,-0.46591561237170254,-0.5110976856481102,-0.5561909052324268,-0.6011956199127724,13806.130952380952,0.0007471796665559969,0.0007575332244633598,0.0007435317759356947,0.0007000960191452552,0.0007558770996899717,0.0009040796902409924,0.0009047504850770672,0.0009218467158800087,0.0009294919878717881,0.0009346453617296581,0.0008915607648858918,1649937.9404761903,1653200.416666667,1656462.8928571427,1659725.3690476192,1662987.8452380954,1666250.3214285714,9728.035714285714,10543.654761904761,11359.27380952381,12174.892857142857,12990.511904761905
